Name,Year,OscarWon,OscarLost,SAGWon,SAGLost,GGDramaWon,GGDramaLost,GGMusicalWon,GGMusicalLost,CCWon,CCLost,BAFTAWon,BAFTALost
Julianne Moore,2002,0,1,0,1,0,1,0,0,1,0,0,0
Salma Hayek,2002,0,1,0,1,0,1,0,0,0,1,0,1
Nicole Kidman,2002,1,0,0,1,1,0,0,0,0,1,1,0
Diane Lane,2002,0,1,0,1,0,1,0,0,0,1,0,0
Renée Zellweger,2002,0,1,1,0,0,0,1,0,0,0,0,1
Naomi Watts,2003,0,1,0,1,0,0,0,0,0,1,0,1
Samantha Morton,2003,0,1,0,0,0,0,0,0,0,1,0,0
Diane Keaton,2003,0,1,0,1,0,0,1,0,0,1,0,0
Keisha Castle-Hughes,2003,0,1,0,0,0,0,0,0,0,0,0,0
Charlize Theron,2003,1,0,1,0,1,0,0,0,1,0,0,0
Hilary Swank,2004,1,0,1,0,1,0,0,0,1,0,0,0
Catalina Sandino Moreno,2004,0,1,0,1,0,0,0,0,0,1,0,0
Imelda Staunton,2004,0,1,0,1,0,1,0,0,0,1,1,0
Annette Bening,2004,0,1,0,1,0,0,1,0,0,1,0,0
Kate Winslet,2004,0,1,0,1,0,0,0,1,0,1,0,1
Judi Dench,2005,0,1,0,1,0,0,0,1,0,1,0,1
Keira Knightley,2005,0,1,0,0,0,0,0,1,0,1,0,0
Felicity Huffman,2005,0,1,0,1,1,0,0,0,0,1,0,0
Reese Witherspoon,2005,1,0,1,0,0,0,1,0,1,0,1,0
Charlize Theron,2005,0,1,0,1,0,1,0,0,0,1,0,1
Judi Dench,2006,0,1,0,1,0,1,0,0,0,1,0,1
Penélope Cruz,2006,0,1,0,1,0,1,0,0,0,1,0,1
Meryl Streep,2006,0,1,0,1,0,0,1,0,0,1,0,1
Helen Mirren,2006,1,0,1,0,1,0,0,0,1,0,1,0
Kate Winslet,2006,0,1,0,1,0,1,0,0,0,1,0,1
Marion Cotillard,2007,1,0,0,1,0,0,1,0,0,1,1,0
Ellen Page,2007,0,1,0,1,0,0,0,1,0,1,0,1
Laura Linney,2007,0,1,0,0,0,0,0,0,0,0,0,0
Cate Blanchett,2007,0,1,0,1,0,1,0,0,0,1,0,1
Julie Christie,2007,0,1,1,0,1,0,0,0,1,0,0,1
Angelina Jolie,2008,0,1,0,1,0,1,0,0,0,1,0,1
Meryl Streep,2008,0,1,1,0,0,1,0,1,1,0,0,1
Anne Hathaway,2008,0,1,0,1,0,1,0,0,1,0,0,0
Kate Winslet,2008,1,0,0,1,1,0,0,0,0,0,0,1
Melissa Leo,2008,0,1,0,1,0,0,0,0,0,1,0,0
Sandra Bullock,2009,1,0,1,0,1,0,0,1,1,0,0,0
Meryl Streep,2009,0,1,0,1,0,0,0,1,1,0,0,1
Helen Mirren,2009,0,1,0,1,0,1,0,0,0,0,0,0
Carey Mulligan,2009,0,1,0,1,0,1,0,0,0,1,1,0
Gabourey Sidibe,2009,0,1,0,1,0,1,0,0,0,1,0,1
Michelle Williams,2010,0,1,0,0,0,1,0,0,0,1,0,0
Natalie Portman,2010,1,0,1,0,1,0,0,0,1,0,1,0
Nicole Kidman,2010,0,1,0,1,0,1,0,0,0,1,0,0
Annette Bening,2010,0,1,0,1,0,0,1,0,0,1,0,1
Jennifer Lawrence,2010,0,1,0,1,0,1,0,0,0,1,0,0
Michelle Williams,2011,0,1,0,1,0,0,1,0,0,1,0,1
Glenn Close,2011,0,1,0,1,0,1,0,0,0,0,0,0
Rooney Mara,2011,0,1,0,0,0,1,0,0,0,0,0,0
Meryl Streep,2011,1,0,0,1,1,0,0,0,0,1,1,0
Viola Davis,2011,0,1,1,0,0,1,0,0,1,0,0,1
Naomi Watts,2012,0,1,0,1,0,1,0,0,0,1,0,0
Emmanuelle Riva,2012,0,1,0,0,0,0,0,0,0,1,1,0
Jennifer Lawrence,2012,1,0,1,0,0,0,1,0,0,1,0,1
Quvenzhané Wallis,2012,0,1,0,0,0,0,0,0,0,1,0,0
Jessica Chastain,2012,0,1,0,1,1,0,0,0,1,0,0,1
Judi Dench,2013,0,1,0,1,0,1,0,0,0,1,0,1
Cate Blanchett,2013,1,0,1,0,1,0,0,0,1,0,1,0
Amy Adams,2013,0,1,0,0,0,0,1,0,0,0,0,1
Sandra Bullock,2013,0,1,0,1,0,1,0,0,0,1,0,1
Meryl Streep,2013,0,1,0,1,0,0,0,1,0,1,0,0
